SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,Module_Color,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared.name,Stress,TopologicalCoefficient,SNP
303793,5.35246294,0.0010434997082944,0.18682988,0,4,10,false,0,uniprotkb:Q8CGE9,3.25,4,0,0,0.7098358,false,0,uniprotkb:Q8CGE9,219276,0.25,No
303794,6.35222382,0,0.15742518,0,1,11,false,0,uniprotkb:Q63932,4,1,0,0,0.64318508,false,0,uniprotkb:Q63932,0,0,No
303795,6.35222382,0,0.15742518,0,1,11,false,0,uniprotkb:P20171,4,1,0,0,0.64318508,false,0,uniprotkb:P20171,0,0,No
303796,6.35222382,0,0.15742518,0,1,11,false,0,uniprotkb:Q04970,4,1,0,0,0.64318508,false,0,uniprotkb:Q04970,0,0,No
303797,4.35413678,0.00265584298665891,0.22966665,0.08888889,29,9,false,0,uniprotkb:P15056,16.6,22,0,2,0.77639088,false,7,uniprotkb:P15056,548672,0.10878378,No
303798,4.7446198,0.000687453061349504,0.21076504,0.07142857,10,9,false,0,uniprotkb:Q16539,5.125,10,0,2,0.75035868,false,0,uniprotkb:Q16539,103582,0.15416667,No
303799,4.13032042,0.00123186289726535,0.24211197,0.1,8,9,false,0,uniprotkb:O43257,25.4,8,0,2,0.79131197,false,0,uniprotkb:O43257,157678,0.20840336,No
303800,3.15925395,0.0719804020750649,0.31653043,0.00951886,179,8,false,0,uniprotkb:P0CG48,12.25,179,0,36,0.85604974,false,0,uniprotkb:P0CG48,10416460,0.01427893,Yes
303801,3.99856528,0.000454022318613652,0.2500897,0.04761905,11,9,false,0,uniprotkb:Q12888,30.42857143,11,0,3,0.80009565,false,0,uniprotkb:Q12888,114104,0.15316642,Yes
303802,5.65088474,3.32854771385773e-08,0.17696344,0.83333333,10,11,false,0,uniprotkb:Q0VG06,5,10,0,3,0.68994102,false,0,uniprotkb:Q0VG06,2,0.55555556,No
303803,4.65184122,0.00143198640796837,0.21496864,0.19444444,16,10,false,0,uniprotkb:O15360,6.33333333,16,0,6,0.75654392,false,0,uniprotkb:O15360,218988,0.16216216,No
303804,5.26948828,3.70001681615855e-05,0.18977175,0.6,9,11,false,0,uniprotkb:Q8NB91,4.8,9,0,2,0.71536745,false,0,uniprotkb:Q8NB91,15416,0.43636364,No
303805,5.65112386,0,0.17695595,1,3,11,false,0,uniprotkb:Q8IYD8,6,3,0,0,0.68992508,false,0,uniprotkb:Q8IYD8,0,0.66666667,No
303806,4.4772836,0.00243649202534583,0.22334971,0.2,7,10,false,0,uniprotkb:O15287,10.2,7,0,2,0.76818109,false,0,uniprotkb:O15287,280910,0.245,No
303807,5.65112386,0,0.17695595,1,5,11,false,0,uniprotkb:Q9NW38,6,5,0,2,0.68992508,false,0,uniprotkb:Q9NW38,0,0.66666667,No
303808,4.50382592,0.00177347043445076,0.22203345,0.04761905,12,10,false,0,uniprotkb:Q01196,10.57142857,12,0,3,0.76641161,false,0,uniprotkb:Q01196,439512,0.15646259,No
303809,5.5035868,0,0.18169969,0,4,11,false,0,uniprotkb:Q00534,7,4,0,1,0.69976088,false,0,uniprotkb:Q00534,0,0,No
303810,5.5035868,0,0.18169969,0,1,11,false,0,uniprotkb:Q13951,7,1,0,0,0.69976088,false,0,uniprotkb:Q13951,0,0,No
303811,5.00215208,0.000376890726842482,0.19991395,0,6,10,false,0,uniprotkb:P49715,4,6,0,1,0.73318986,false,0,uniprotkb:P49715,46098,0.25,No
303812,5.26327116,6.80045009732885e-07,0.18999591,0.66666667,3,11,false,0,uniprotkb:Q13505,4.33333333,3,0,0,0.71578192,false,0,uniprotkb:Q13505,130,0.48148148,No
303813,5.27881396,0,0.18943649,1,2,11,false,0,uniprotkb:O75431,5.5,2,0,0,0.71474574,false,0,uniprotkb:O75431,0,0.6875,No
303814,5.06001913,5.66406674289065e-05,0.19762771,0.33333333,3,10,false,0,uniprotkb:Q9Y512,17.33333333,3,0,0,0.72933206,false,0,uniprotkb:Q9Y512,20330,0.36170213,No
303815,3.74270684,8.13280545907719e-05,0.2671863,0.14285714,7,9,false,0,uniprotkb:Q9UL03,84.42857143,7,0,0,0.81715288,false,0,uniprotkb:Q9UL03,44412,0.15136668,No
303816,3.81109517,0.000600535581501026,0.26239177,0.07575758,16,9,false,0,uniprotkb:Q09161,28.75,16,0,4,0.81259366,false,0,uniprotkb:Q09161,151988,0.09770115,No
303817,4.08153993,0.000123464136408106,0.24500557,0.14285714,7,10,false,0,uniprotkb:Q14152,31.14285714,7,0,0,0.794564,false,0,uniprotkb:Q14152,30516,0.15205092,No
303818,4.03754185,0.000278928445748204,0.24767545,0.07575758,21,9,false,0,uniprotkb:Q04637,7.08333333,21,0,5,0.79749721,false,0,uniprotkb:Q04637,62404,0.13071895,No
303819,3.67455763,0.00303829139847512,0.2721416,0.03296703,29,9,false,0,uniprotkb:P06730,21.35714286,29,0,7,0.82169616,false,0,uniprotkb:P06730,429456,0.08025372,No
303820,3.4057867,0.00311325560679851,0.29361792,0.15384615,23,8,false,0,uniprotkb:Q92900,131.46153846,23,0,6,0.83961422,false,0,uniprotkb:Q92900,1566762,0.11937789,No
303821,3.51721664,0.00128280591953589,0.28431573,0.28571429,11,8,false,1,uniprotkb:Q9HAU5,173.875,11,0,1,0.83218556,false,0,uniprotkb:Q9HAU5,459100,0.18123695,No
303822,4.41893831,1.40948492544444e-06,0.2262987,0,2,9,false,0,uniprotkb:P55884-1,7.5,2,0,0,0.77207078,false,0,uniprotkb:P55884-1,1312,0.54166667,No
303823,4.43735055,0.0028590140413576,0.2253597,0,6,10,false,0,uniprotkb:P21796,50,6,0,0,0.7708433,false,0,uniprotkb:P21796,687918,0.17013889,No
303824,5.43711143,0,0.18392119,0,1,11,false,0,uniprotkb:P06396,6,1,0,0,0.70419257,false,0,uniprotkb:P06396,0,0,Yes
303825,5.43711143,0,0.18392119,0,1,11,false,0,uniprotkb:P69728,6,1,0,0,0.70419257,false,0,uniprotkb:P69728,0,0,No
303826,3.69607843,0.00284518851995212,0.27055703,0.14285714,10,10,false,0,uniprotkb:P18124,115.57142857,10,0,2,0.82026144,false,0,uniprotkb:P18124,982212,0.20343261,No
303827,4.02128168,0.0190918930122471,0.24867693,0.01814516,48,10,false,0,uniprotkb:P27824,4.65625,48,0,10,0.79858122,false,0,uniprotkb:P27824,2970212,0.04231771,No
303828,1,0,1,0,2,1,false,-1,uniprotkb:Q5SXI5,1,2,0,1,1,false,0,uniprotkb:Q5SXI5,0,0,No
303829,1,0,1,0,2,1,false,-1,uniprotkb:Q62315,1,2,0,1,1,false,0,uniprotkb:Q62315,0,0,No
303830,3.07795313,0.0868369084621853,0.32489124,0.00581655,264,8,false,0,uniprotkb:P04637,9.32,263,0,38,0.86146979,false,1,uniprotkb:P04637,19755686,0.00968413,Yes
303831,3.84122429,0.000487214333334653,0.26033367,0.19047619,10,9,false,0,uniprotkb:P18146,37,10,0,3,0.81058505,false,0,uniprotkb:P18146,116944,0.15825123,No
303832,3.57364897,0.00516968484471354,0.27982603,0.11666667,25,8,false,0,uniprotkb:P49841,37.5625,25,0,7,0.8284234,false,0,uniprotkb:P49841,938284,0.06959963,No
303833,4.21879484,0.00106065503844228,0.23703452,0.04761905,22,9,false,0,uniprotkb:Q01094,10.28571429,22,0,6,0.78541368,false,0,uniprotkb:Q01094,115624,0.15437788,No
303834,4.06073649,0.00191260893019879,0.24626075,0.05494505,30,9,false,0,uniprotkb:P06400,8.64285714,30,0,8,0.7959509,false,0,uniprotkb:P06400,280014,0.09579832,No
303835,4.61142994,1.11195499749523e-05,0.21685248,0.33333333,4,10,false,0,uniprotkb:Q14209,12.66666667,4,0,1,0.759238,false,0,uniprotkb:Q14209,18486,0.38541667,No
303836,4.77427068,0.000227281492314692,0.20945608,0,12,10,false,0,uniprotkb:O96017,6,12,0,6,0.74838195,false,0,uniprotkb:O96017,36982,0.19230769,No
303837,4.60879962,1.83875003706505e-05,0.21697624,0.33333333,3,10,false,0,uniprotkb:O00716,13.66666667,3,0,0,0.75941336,false,0,uniprotkb:O00716,3094,0.38095238,No
303838,5.74533716,0,0.17405419,0,1,11,false,0,uniprotkb:P02766,6,1,0,0,0.68364419,false,0,uniprotkb:P02766,0,0,No
303839,4.74557628,0.00130437935160482,0.21072256,0,8,10,false,0,uniprotkb:Q08379,5.5,8,0,1,0.75029491,false,0,uniprotkb:Q08379,323402,0.17307692,No
303840,5.1217121,0,0.19524721,0,2,10,false,0,uniprotkb:Q07817-1,15,2,0,1,0.72521919,false,0,uniprotkb:Q07817-1,0,0,No
303841,4.12195122,0.00308084766203467,0.24260355,0.02857143,45,9,false,0,uniprotkb:Q14457,5.26666667,45,0,11,0.79186992,false,0,uniprotkb:Q14457,397268,0.07931034,No
303842,4.07197513,0.00368138448614409,0.24558107,0.06060606,26,9,false,0,uniprotkb:P10415,9.91666667,26,0,3,0.79520166,false,0,uniprotkb:P10415,473882,0.09405941,No
303843,4.6049737,0.0010551523530414,0.21715651,0.1,5,9,false,0,uniprotkb:Q92934,14.4,5,0,0,0.75966842,false,0,uniprotkb:Q92934,155876,0.20909091,No
303844,6.33142037,0.000790895891881531,0.15794244,0.1,8,11,false,0,uniprotkb:A5J090,2.6,8,0,1,0.64457198,false,0,uniprotkb:A5J090,259402,0.25,No
303845,6.49808704,0.00035688037567388,0.15389144,0,3,12,false,0,uniprotkb:Q9PUK8,2.66666667,3,0,0,0.63346086,false,0,uniprotkb:Q9PUK8,48930,0.33333333,No
303846,6.33285509,0,0.15790666,1,5,11,false,0,uniprotkb:P51142,5.5,5,0,1,0.64447633,false,0,uniprotkb:P51142,0,0.61111111,No
303847,7.33118125,0,0.13640367,0,1,12,false,0,uniprotkb:Q08464,5,1,0,0,0.57792125,false,0,uniprotkb:Q08464,0,0,No
303848,5.33476805,0.00183575091027032,0.18744957,0.2,7,10,false,0,uniprotkb:Q9Y4D1,8.16666667,7,0,1,0.71101546,false,0,uniprotkb:Q9Y4D1,552308,0.21491228,No
303849,7.33118125,0,0.13640367,0,1,12,false,0,uniprotkb:Q9W760,5,1,0,0,0.57792125,false,0,uniprotkb:Q9W760,0,0,No
303850,4.01267336,0.000950173950099941,0.24921042,0.13333333,11,9,false,0,uniprotkb:P98170,35,11,0,4,0.79915511,false,0,uniprotkb:P98170,190750,0.17424242,No
303851,4.65662363,0.000130127484718929,0.21474787,0.16666667,7,10,false,0,uniprotkb:P46531,7.5,7,0,2,0.75622509,false,0,uniprotkb:P46531,17888,0.30434783,No
303852,4.39430894,0.00187387960667092,0.22756707,0.11111111,16,9,false,0,uniprotkb:Q01105,20.66666667,16,0,5,0.77371274,false,0,uniprotkb:Q01105,1074728,0.1162492,No
303853,4.73338116,0.000842370237518988,0.21126547,0.26666667,7,10,false,0,uniprotkb:P20226,8.5,7,0,1,0.75110792,false,0,uniprotkb:P20226,160870,0.25252525,No
303854,4.7374462,0.000105279171074771,0.21108419,0.5,5,10,false,0,uniprotkb:Q15572,5.25,5,0,1,0.75083692,false,0,uniprotkb:Q15572,21658,0.38461538,No
303855,5.1229077,3.90328452734298e-06,0.19520164,0.66666667,5,10,false,0,uniprotkb:Q53T94,5.25,5,0,1,0.72513949,false,0,uniprotkb:Q53T94,2788,0.40384615,No
303856,4.29053085,0.000444596578070433,0.23307139,0,5,9,false,0,uniprotkb:P17480,8,5,0,0,0.78063128,false,0,uniprotkb:P17480,65800,0.20588235,No
303857,5.3938307,0,0.18539699,1,2,10,false,0,uniprotkb:Q15573,6.5,2,0,0,0.70707795,false,0,uniprotkb:Q15573,0,0.72222222,No
303858,4.45982783,5.486078670945e-05,0.2242239,0.66666667,11,10,false,0,uniprotkb:O00257,14.16666667,11,0,2,0.76934481,false,0,uniprotkb:O00257,7210,0.35,No
303859,3.88474414,0.00420021331037641,0.25741721,0.15151515,40,9,false,0,uniprotkb:P35226,10.95454545,40,0,7,0.80768372,false,0,uniprotkb:P35226,611270,0.06920821,No
303860,4.46747967,0,0.22383985,1,4,10,false,0,uniprotkb:O95931,17.25,4,0,0,0.76883469,false,0,uniprotkb:O95931,0,0.44230769,No
303861,4.23338116,0.000204810043162411,0.2362178,0.48888889,22,10,false,0,uniprotkb:Q9HC52,10,22,0,3,0.78444126,false,0,uniprotkb:Q9HC52,47734,0.22222222,No
303862,4.88402678,0,0.20474908,1,3,10,false,0,uniprotkb:P78364,15,3,0,0,0.74106488,false,0,uniprotkb:P78364,0,0.68181818,Yes
303863,3.70444763,0.000749086801436917,0.26994578,0.66666667,10,9,false,0,uniprotkb:Q99496,106.66666667,10,0,2,0.81970349,false,0,uniprotkb:Q99496,176244,0.1789916,No
303864,4.88402678,0,0.20474908,1,3,10,false,0,uniprotkb:Q8IXK0,15,3,0,0,0.74106488,false,0,uniprotkb:Q8IXK0,0,0.68181818,No
303865,7.66834051,0.000695749685889113,0.13040631,0,5,13,false,7,uniprotkb:O94985,1.66666667,5,0,1,0.55544397,false,0,uniprotkb:O94985,268842,0.33333333,No
303866,8.66810139,0,0.11536552,0,1,14,false,7,uniprotkb:Q99767,3,1,0,0,0.48879324,false,0,uniprotkb:Q99767,0,0,No
303867,6.66953611,0.0013909168759283,0.14993547,0,5,12,false,7,uniprotkb:Q8CD76,2,5,0,1,0.62203093,false,0,uniprotkb:Q8CD76,537670,0.33333333,No
303868,8.66810139,0,0.11536552,0,1,14,false,7,uniprotkb:O00213,3,1,0,0,0.48879324,false,0,uniprotkb:O00213,0,0,No
303869,5.67168819,0.00173791797509797,0.17631435,0,3,11,false,7,uniprotkb:Q9UQF2,4,3,0,1,0.68855412,false,0,uniprotkb:Q9UQF2,672070,0.5,No
303870,7.66929699,0,0.13039005,0,1,13,false,7,uniprotkb:Q13310,3,1,0,0,0.5553802,false,0,uniprotkb:Q13310,0,0,No
303871,3.44595887,0.00511431465513412,0.29019499,0.07619048,34,9,false,0,uniprotkb:P62136,100.93333333,34,0,7,0.83693608,false,0,uniprotkb:P62136,1315368,0.10192893,No
303872,3.65734099,0.00908833705093766,0.27342269,0.08947368,51,9,false,0,uniprotkb:O15169,23.35,51,0,8,0.82284393,false,0,uniprotkb:O15169,1220678,0.05717822,No
303873,4.65710187,0,0.21472582,0,1,10,false,0,uniprotkb:P49840,20,1,0,0,0.75619321,false,0,uniprotkb:P49840,0,0,No
303874,4.48947872,5.22956033513528e-05,0.22274301,0.2,14,10,false,0,uniprotkb:P61201,6.6,14,0,3,0.76736809,false,0,uniprotkb:P61201,5670,0.26956522,No
303875,3.89693926,0.000686621334471849,0.25661165,0,12,9,false,0,uniprotkb:P25963,25.16666667,12,0,3,0.80687072,false,0,uniprotkb:P25963,130590,0.17901235,No
303876,3.38976566,0.016853624332698,0.29500564,0.00474684,97,9,false,0,uniprotkb:Q15843,9.3875,97,0,12,0.84068229,false,0,uniprotkb:Q15843,6775368,0.01948529,No
303877,3.85509326,0.00137344146810144,0.2593971,0.04444444,17,9,false,0,uniprotkb:Q9Y297,19,17,0,5,0.80966045,false,0,uniprotkb:Q9Y297,212402,0.11151515,No
303878,3.46269727,0.00687880673140019,0.28879221,0.06719368,34,9,false,0,uniprotkb:Q13616,58.04347826,34,0,4,0.83582018,false,0,uniprotkb:Q13616,1726008,0.06331045,No
303879,3.25227164,0.0105099220847835,0.30747739,0.03492063,65,8,false,0,uniprotkb:P06748,42.02777778,65,0,12,0.84984856,false,0,uniprotkb:P06748,2935268,0.03736921,No
303880,4.18938307,9.92155324768685e-05,0.23869863,0,5,9,false,0,uniprotkb:P05549,21,5,0,1,0.78737446,false,0,uniprotkb:P05549,10438,0.5,No
303881,3.2637494,0.0131679242234174,0.30639607,0.07126437,43,8,false,0,uniprotkb:Q13547,50.96666667,43,0,9,0.84908337,false,0,uniprotkb:Q13547,2495526,0.05085256,No
303882,3.49545672,0.00221703781101176,0.28608565,0.08823529,24,9,false,1,uniprotkb:Q92769,74.52941176,24,0,6,0.83363622,false,0,uniprotkb:Q92769,671902,0.09090254,No
303883,4.04949785,0.000270801175623009,0.2469442,0.33333333,4,9,false,0,uniprotkb:O14503,61.66666667,4,0,1,0.79670014,false,0,uniprotkb:O14503,53454,0.36507937,No
303884,3.52654232,0.00722546409693403,0.28356387,0.0625,94,9,false,0,uniprotkb:Q00987,16.125,92,0,19,0.83156385,false,2,uniprotkb:Q00987,1094616,0.04128886,No
303885,5.85413678,0,0.17081938,0,4,11,false,0,uniprotkb:P06401,2,4,0,1,0.67639088,false,0,uniprotkb:P06401,0,0,No
303886,4.8543759,0.00034791644979098,0.2059997,0,5,10,false,0,uniprotkb:Q9H467,10,5,0,1,0.74304161,false,0,uniprotkb:Q9H467,61406,0.5,No
303887,3.85509326,0.00677624255292097,0.2593971,0.02923977,38,9,false,0,uniprotkb:P03372,8.42105263,38,0,11,0.80966045,false,0,uniprotkb:P03372,1076100,0.0687904,No
303888,4.84337637,0,0.20646754,1,5,11,false,0,uniprotkb:P01009,19.5,5,0,1,0.74377491,false,0,uniprotkb:P01009,0,0.54166667,No
303889,4.24725012,0.00171192659711945,0.23544646,0.0952381,14,10,false,0,uniprotkb:P43307,29.14285714,14,0,2,0.78351666,false,0,uniprotkb:P43307,589870,0.14727541,No
303890,4.32209469,1.7822381275988e-05,0.23136929,0,2,10,false,0,uniprotkb:P51571,78.5,2,0,0,0.77852702,false,0,uniprotkb:P51571,1728,0.5,No
303891,5.247011,0,0.1905847,0,1,11,false,0,uniprotkb:Q92611,7,1,0,0,0.71686593,false,0,uniprotkb:Q92611,0,0,No
303892,5.247011,0,0.1905847,0,1,11,false,0,uniprotkb:P60468,7,1,0,0,0.71686593,false,0,uniprotkb:P60468,0,0,No
303893,4.76781444,0.000393188481466304,0.20973971,0,8,10,false,0,uniprotkb:P78314,7.75,8,0,2,0.74881237,false,0,uniprotkb:P78314,73792,0.25,No
303894,5.76757532,0,0.17338308,0,3,11,false,0,uniprotkb:Q9UJU6,4,3,0,1,0.68216165,false,0,uniprotkb:Q9UJU6,0,0,No
303895,4.91391679,0.000399072784951211,0.20350365,0,4,10,false,0,uniprotkb:O43561,7.75,4,0,0,0.73907221,false,0,uniprotkb:O43561,56362,0.25,No
303896,4.10282162,0.00088486955272647,0.2437347,0.13333333,13,9,false,0,uniprotkb:P15498,8.33333333,13,0,4,0.79314523,false,0,uniprotkb:P15498,113456,0.19047619,No
303897,4.01386896,0.00457630099418485,0.24913618,0.04736842,58,9,false,0,uniprotkb:Q96B97,7.3,58,0,15,0.7990754,false,0,uniprotkb:Q96B97,1061668,0.06868687,No
303898,4.56934481,0,0.21884976,0,4,10,false,0,uniprotkb:Q9BZE0,35,4,0,1,0.76204368,false,0,uniprotkb:Q9BZE0,0,0,No
303899,3.56958393,0.0189831932100585,0.28014469,0.02689076,75,9,false,0,uniprotkb:P35222,14.71428571,75,0,17,0.8286944,false,0,uniprotkb:P35222,2358822,0.03219134,No
303900,3.80894309,0.000413118485483312,0.26254002,0.23809524,17,9,false,0,uniprotkb:Q8N726,33.42857143,17,0,4,0.81273713,false,0,uniprotkb:Q8N726,73940,0.16316527,No
303901,4.80870397,0,0.20795624,0,3,10,false,0,uniprotkb:P04198,7,3,0,1,0.7460864,false,0,uniprotkb:P04198,0,0,No
303902,3.92826399,0.00349884458218505,0.25456538,0.08791209,30,9,false,0,uniprotkb:P01106,16.71428571,30,0,7,0.8047824,false,0,uniprotkb:P01106,510708,0.08533835,No
303903,4.92802487,0,0.20292105,0,1,10,false,0,uniprotkb:P84077,14,1,0,0,0.73813168,false,0,uniprotkb:P84077,0,0,No
303904,4.15901483,0,0.24044156,0,2,9,false,0,uniprotkb:Q13887,108,2,0,1,0.78939901,false,0,uniprotkb:Q13887,0,0,No
303905,3.89526542,0.00233208692216946,0.25672192,0.12087912,24,9,false,0,uniprotkb:O43318,14.92857143,24,0,6,0.80698231,false,0,uniprotkb:O43318,335792,0.08895706,No
303906,4.8950263,0,0.20428899,0,1,10,false,0,uniprotkb:Q02246,14,1,0,0,0.74033158,false,0,uniprotkb:Q02246,0,0,No
303907,3.79100909,0.00558374566026608,0.26378201,0.10507246,53,9,false,0,uniprotkb:Q9Y6K9,15.25,53,0,14,0.81393273,false,0,uniprotkb:Q9Y6K9,890204,0.05921916,No
303908,4.48230512,0.00116610253561017,0.22309949,0.2,9,10,false,0,uniprotkb:O15111,13.83333333,9,0,2,0.76784633,false,0,uniprotkb:O15111,237440,0.19248826,No
303909,3.76924916,0.00292892423102848,0.26530483,0.06666667,17,9,false,0,uniprotkb:O14920,25.4,17,0,3,0.81538339,false,0,uniprotkb:O14920,429010,0.10735931,No
303910,5.27857484,0,0.18944507,0,3,11,false,1,uniprotkb:O95067,3,3,0,1,0.71476168,false,0,uniprotkb:O95067,0,0,No
303911,4.27881396,0.000378612022111413,0.23370962,0,7,10,false,1,uniprotkb:P21333,18,7,0,2,0.7814124,false,0,uniprotkb:P21333,50600,0.34,No
303912,4.7792922,0.0094091156893883,0.209236,0.01058201,32,10,false,15,uniprotkb:P30101,3.14285714,32,0,3,0.74804719,false,0,uniprotkb:P30101,1356854,0.04481793,No
303913,5.49378288,0.000125368112485706,0.18202394,0.33333333,3,10,false,0,uniprotkb:P01892,20.66666667,3,0,0,0.70041447,false,0,uniprotkb:P01892,20222,0.39869281,No
303914,1,0,1,0,1,1,false,-1,uniprotkb:Q7L9L4,1,1,0,0,1,false,0,uniprotkb:Q7L9L4,0,0,No
303915,1,0,1,0,1,1,false,-1,uniprotkb:P26927,1,1,0,0,1,false,0,uniprotkb:P26927,0,0,No
303916,1,8.32136928464434e-08,1,0,2,1,false,-1,uniprotkb:Q24590,1,2,0,0,1,false,0,uniprotkb:Q24590,2,0,No
303917,1.5,0,0.66666667,0,1,2,false,-1,uniprotkb:Q95RA8,2,1,0,0,0.75,false,0,uniprotkb:Q95RA8,0,0,No
303918,1.5,0,0.66666667,0,1,2,false,-1,uniprotkb:Q8T0S6,2,1,0,0,0.75,false,0,uniprotkb:Q8T0S6,0,0,No
303919,1,0,1,0,2,1,false,-1,uniprotkb:Q9QUR7,1,2,0,1,1,false,0,uniprotkb:Q9QUR7,0,0,No
303920,1,0,1,0,2,1,false,-1,uniprotkb:Q8BUV3,1,2,0,1,1,false,0,uniprotkb:Q8BUV3,0,0,No
303921,4.15901483,0,0.24044156,0,1,9,false,0,uniprotkb:Q99062,108,1,0,0,0.78939901,false,0,uniprotkb:Q99062,0,0,No
303922,4.35413678,0.000385017416902023,0.22966665,0.4,13,9,false,0,uniprotkb:O95999,9,13,0,3,0.77639088,false,0,uniprotkb:O95999,89982,0.25238095,No
303923,4.39693926,0.000578879956209383,0.22743093,0,4,9,false,0,uniprotkb:P27448,33.75,4,0,0,0.77353738,false,0,uniprotkb:P27448,72264,0.25,Yes
303924,4.3675275,1.73912834347975e-05,0.2289625,0.7,9,9,false,0,uniprotkb:Q9BXL7,12,9,0,3,0.77549817,false,0,uniprotkb:Q9BXL7,3360,0.30769231,No
303925,4.77235772,2.61826442822862e-05,0.20954003,0.33333333,3,10,false,0,uniprotkb:Q04759,7,3,0,0,0.74850949,false,0,uniprotkb:Q04759,4296,0.44444444,No
303926,3.87996174,0.000963257530538154,0.2577345,0.30909091,20,9,false,0,uniprotkb:Q9UDY8,19.63636364,20,0,4,0.80800255,false,0,uniprotkb:Q9UDY8,130716,0.11550802,No
303927,4.84576758,0,0.20636566,1,3,10,false,1,uniprotkb:P49454,3,3,0,1,0.74361549,false,0,uniprotkb:P49454,0,0.75,No
303928,4.69201339,1.55690802054832e-05,0.21312812,0.33333333,4,10,false,1,uniprotkb:Q8WUM0,2.66666667,4,0,1,0.75386577,false,0,uniprotkb:Q8WUM0,1490,0.46666667,Yes
303929,3.84648494,0.000501870070417491,0.25997762,0.33333333,3,9,false,1,uniprotkb:P57740,176.66666667,3,0,0,0.81023434,false,0,uniprotkb:P57740,126384,0.33459836,No
303930,3.85246294,0.000193629974393084,0.2595742,0.33333333,3,9,false,1,uniprotkb:P49790,190,3,0,0,0.8098358,false,0,uniprotkb:P49790,70900,0.33569322,Yes
303931,4.1468197,0.000123210998960343,0.24114866,0,3,9,false,0,uniprotkb:O76080,55.5,3,0,1,0.79021202,false,0,uniprotkb:O76080,11652,0.5,No
303932,4.60234338,6.05447812615254e-06,0.21728062,0.33333333,3,10,false,3,uniprotkb:Q15008,24.33333333,3,0,0,0.75984377,false,0,uniprotkb:Q15008,2550,0.48979592,No
303933,4.2541846,0.000362424359369295,0.23506267,0.4,9,10,false,0,uniprotkb:Q9UPY3,64.4,9,0,4,0.78305436,false,0,uniprotkb:Q9UPY3,345960,0.29181818,No
303934,4.34457198,0,0.23017227,1,4,10,false,0,uniprotkb:O75569,53,4,0,1,0.77702853,false,0,uniprotkb:O75569,0,0.34868421,Yes
303935,4.25442372,4.8091559216524e-06,0.23504946,0.66666667,6,10,false,0,uniprotkb:Q15633,80.5,6,0,2,0.78303842,false,0,uniprotkb:Q15633,9754,0.36425339,No
303936,3.36657102,0.029744265024777,0.29703814,0.00268456,203,9,false,0,uniprotkb:Q9UKV8,6.16666667,203,0,46,0.8422286,false,0,uniprotkb:Q9UKV8,19984312,0.01470641,No
303937,3.54041129,0.00389936002750936,0.28245306,0.15,32,8,false,0,uniprotkb:O15151,37.375,32,0,5,0.83063925,false,0,uniprotkb:O15151,877150,0.07527834,No
303938,3.89191774,6.66993379710797e-05,0.25694274,0,3,9,false,0,uniprotkb:P48729,148.5,3,0,1,0.80720548,false,0,uniprotkb:P48729,13554,0.50341297,No
303939,4.54017217,0,0.22025596,0,5,9,false,0,uniprotkb:Q3YBA8,16,5,0,1,0.76398852,false,0,uniprotkb:Q3YBA8,0,0,No
303940,4.16834051,0.000725514425268742,0.23990363,0.14285714,9,9,false,0,uniprotkb:P31946,16.75,9,0,1,0.7887773,false,0,uniprotkb:P31946,239920,0.15745192,No
303941,3.69081779,0.00127830004932073,0.27094266,0.08888889,15,9,false,0,uniprotkb:Q04917,50.2,15,0,2,0.82061215,false,0,uniprotkb:Q04917,439042,0.11399083,No
303942,3.36346246,0.0327537247299484,0.29731267,0.01065449,103,8,false,0,uniprotkb:P63104,9.46575342,100,0,21,0.84243584,false,3,uniprotkb:P63104,8264878,0.01850772,No
303943,3.53634625,0.00235252690022838,0.28277774,0.06666667,15,9,false,0,uniprotkb:P62258,76.3,15,0,3,0.83091025,false,0,uniprotkb:P62258,610150,0.10923521,No
303944,3.57556193,0.00353752611398107,0.27967632,0.1,31,8,false,0,uniprotkb:P61981,32.3125,31,0,2,0.82829587,false,0,uniprotkb:P61981,720782,0.07225679,No
303945,3.55499761,0.0228121645796764,0.28129414,0.02217742,67,8,false,0,uniprotkb:P12931,11.0625,67,0,15,0.82966683,false,0,uniprotkb:P12931,3292862,0.03680314,No
303946,4.55475849,0,0.21955061,0,2,9,false,0,uniprotkb:P52800,32,2,0,1,0.7630161,false,0,uniprotkb:P52800,0,0,No
303947,4.01171688,0.00514449340601529,0.24926983,0.01754386,35,9,false,0,uniprotkb:Q16665,6.42105263,35,0,7,0.79921887,false,0,uniprotkb:Q16665,725832,0.0598338,No
303948,4.13414634,0.000280653853268387,0.24188791,0.4,14,9,false,0,uniprotkb:Q13330,19.6,14,0,4,0.79105691,false,0,uniprotkb:Q13330,16406,0.27605634,Yes
303949,4.43161167,0.00323372545426746,0.22565154,0,16,10,false,0,uniprotkb:P40337,9,16,0,6,0.77122589,false,0,uniprotkb:P40337,629138,0.15686275,No
303950,5.01147776,0,0.19954194,0,2,10,false,0,uniprotkb:Q9GZT9,19,2,0,1,0.73256815,false,0,uniprotkb:Q9GZT9,0,0,No
