SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,Module_Color,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared.name,Stress,TopologicalCoefficient,SNP
308412,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q6P1L8,230,1,0,0,0.76065678,false,0,uniprotkb:Q6P1L8,0,0,No
308413,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q96QE5,230,1,0,0,0.76065678,false,0,uniprotkb:Q96QE5,0,0,No
308414,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P30044,230,1,0,0,0.76065678,false,0,uniprotkb:P30044,0,0,Yes
308415,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q8N0V3,230,1,0,0,0.76065678,false,0,uniprotkb:Q8N0V3,0,0,Yes
308416,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q53R41,230,1,0,0,0.76065678,false,0,uniprotkb:Q53R41,0,0,No
308417,4.54447633,0.000110914471776314,0.22004736,0.66666667,6,10,false,2,uniprotkb:P47985,69.66666667,6,0,0,0.76370158,false,0,uniprotkb:P47985,145522,0.23858447,No
308418,4.59014825,0,0.21785789,0,2,10,false,2,uniprotkb:Q9NWU5,230,2,0,1,0.76065678,false,0,uniprotkb:Q9NWU5,0,0,No
308419,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q3SY69,230,1,0,0,0.76065678,false,0,uniprotkb:Q3SY69,0,0,No
308420,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:O95900,230,1,0,0,0.76065678,false,0,uniprotkb:O95900,0,0,No
308421,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:O14979,230,1,0,0,0.76065678,false,0,uniprotkb:O14979,0,0,No
308422,4.57006217,0,0.2188154,1,2,10,false,2,uniprotkb:P11182,123,2,0,0,0.76199586,false,0,uniprotkb:P11182,0,0.51037344,Yes
308423,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:O95363,230,1,0,0,0.76065678,false,0,uniprotkb:O95363,0,0,Yes
308424,4.46795791,1.23476151311907e-06,0.2238159,0.66666667,4,10,false,2,uniprotkb:Q9BYC9,78.66666667,4,0,1,0.76880281,false,0,uniprotkb:Q9BYC9,1646,0.33908046,No
308425,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q02978,230,1,0,0,0.76065678,false,0,uniprotkb:Q02978,0,0,No
308426,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P49590,230,1,0,0,0.76065678,false,0,uniprotkb:P49590,0,0,No
308427,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9P015,230,1,0,0,0.76065678,false,0,uniprotkb:Q9P015,0,0,No
308428,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P53007,230,1,0,0,0.76065678,false,0,uniprotkb:P53007,0,0,No
