"Hierarchy","DIP-p.value","MINT-p.value"
1,0.903231092591028,0.0611732050790088
2,0.325879489546106,0.688547361283681
3,0.140864298719303,0.867810781258736
4,0.317207249512793,0.543426873851013
5,0.51652277405578,0.0548661016481405
6,0.737884831439597,0.983509503798406
