SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,degree.layout,Eccentricity,IsSingleNode,Module_Color,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared.name,Stress,TopologicalCoefficient,SNP
263264,1.25,3.33262515048885e-07,0.8,0.33333333,3,3,2,false,-1,DIP-60118N|refseq:NP_006111|uniprotkb:Q6ICR9,2,3,0,0,0.91666667,false,0,DIP-60118N|refseq:NP_006111|uniprotkb:Q6ICR9,8,0.55555556,No
263265,5.37117252,0,0.18617909,0,1,1,15,false,0,DIP-46295N|refseq:NP_000526|uniprotkb:P54278-1,12,1,0,0,0.8251531,false,0,DIP-46295N|refseq:NP_000526|uniprotkb:P54278-1,0,0,No
263266,1.5,0,0.66666667,0,1,1,2,false,-1,DIP-46426N|refseq:NP_003109|uniprotkb:P09486,2,1,0,0,0.75,false,0,DIP-46426N|refseq:NP_003109|uniprotkb:P09486,0,0,No
263267,6.93154095,0,0.14426806,0,1,1,17,false,0,DIP-29314N,7,1,0,0,0.76273836,false,0,DIP-29314N,0,0,No
263268,10.78317152,0,0.09273709,1,2,2,20,false,7,DIP-60075N|refseq:NP_990153|uniprotkb:Q9PVK1,4.5,2,0,0,0.60867314,false,0,DIP-60075N|refseq:NP_990153|uniprotkb:Q9PVK1,0,0.64285714,No
263269,6.7154593,0.000334595565109081,0.14891014,0,2,2,16,false,0,DIP-33805N|refseq:NP_064590|uniprotkb:Q6GQQ9,3.5,2,0,0,0.77138163,false,0,DIP-33805N|refseq:NP_064590|uniprotkb:Q6GQQ9,74930,0.5,Yes
263270,7.71521036,0,0.12961409,0,1,1,17,false,0,DIP-49695N|uniprotkb:P50284,2,1,0,0,0.73139159,false,0,DIP-49695N|uniprotkb:P50284,0,0,No
263271,6.26387852,0,0.1596455,0,1,1,16,false,0,DIP-60128N|uniprotkb:B2RUR8,7,1,0,0,0.78944486,false,0,DIP-60128N|uniprotkb:B2RUR8,0,0,Yes
263272,5.85461787,0,0.17080534,0,1,1,15,false,0,DIP-60127N|refseq:NP_071738|uniprotkb:Q9H4G4,21,1,0,0,0.80581529,false,0,DIP-60127N|refseq:NP_071738|uniprotkb:Q9H4G4,0,0,No
263273,5.3716704,0,0.18616183,0,1,1,15,false,0,DIP-52901N|uniprotkb:P01317,18,1,0,0,0.82513318,false,0,DIP-52901N|uniprotkb:P01317,0,0,No
263274,10.96813542,0,0.0911732,0,1,1,21,false,2,DIP-60119N|uniprotkb:O54081,10,1,0,0,0.60127458,false,0,DIP-60119N|uniprotkb:O54081,0,0,Yes
263275,1.75,0,0.57142857,1,2,2,3,false,-1,DIP-60117N|refseq:NP_002111|uniprotkb:P13765,2.5,2,0,0,0.75,false,0,DIP-60117N|refseq:NP_002111|uniprotkb:P13765,0,0.83333333,No
263276,1.75,0,0.57142857,1,2,2,3,false,-1,DIP-60116N|refseq:NP_002110|uniprotkb:P06340,2.5,2,0,0,0.75,false,0,DIP-60116N|refseq:NP_002110|uniprotkb:P06340,0,0.83333333,No
263277,5.84889221,0,0.17097255,1,2,2,15,false,0,DIP-50290N|uniprotkb:Q676U5,7,2,0,0,0.80604431,false,0,DIP-50290N|uniprotkb:Q676U5,0,0.63636364,No
263278,6.20637292,0.00279031805273054,0.1611247,0,2,2,16,false,0,DIP-60109N|refseq:NP_080678|uniprotkb:Q9CPX6,12.5,2,0,0,0.79174508,false,0,DIP-60109N|refseq:NP_080678|uniprotkb:Q9CPX6,592598,0.5,Yes
263279,6.93154095,0,0.14426806,0,1,1,17,false,0,DIP-44311N|uniprotkb:O95644,7,1,0,0,0.76273836,false,0,DIP-44311N|uniprotkb:O95644,0,0,No
263280,6.93154095,0,0.14426806,0,1,1,17,false,0,DIP-60108N|uniprotkb:O36972,7,1,0,0,0.76273836,false,0,DIP-60108N|uniprotkb:O36972,0,0,No
263281,7.26537217,0,0.1376392,0,1,1,17,false,0,DIP-60107N|refseq:NP_056008|uniprotkb:Q7LC44,8,1,0,0,0.74938511,false,0,DIP-60107N|refseq:NP_056008|uniprotkb:Q7LC44,0,0,No
263282,5.69678865,0.000342295217805102,0.17553749,0,4,4,16,false,0,DIP-60099N|refseq:NP_081602|uniprotkb:A2AM29,5,4,0,0,0.81212845,false,0,DIP-60099N|refseq:NP_081602|uniprotkb:A2AM29,93922,0.30769231,Yes
263283,6.48020911,0.000317742059789009,0.15431601,0,4,4,16,false,0,DIP-50009N|uniprotkb:Q6W2J9,3.75,4,0,0,0.78079164,false,0,DIP-50009N|uniprotkb:Q6W2J9,95220,0.39285714,No
263284,6.55688325,1.82054442629601e-06,0.15251148,0,2,2,17,false,0,DIP-56407N|uniprotkb:P51825,5,2,0,0,0.77772467,false,0,DIP-56407N|uniprotkb:P51825,360,0.8,Yes
263285,6.9596714,3.42089333052761e-06,0.14368494,0,2,2,17,false,0,DIP-60098N|uniprotkb:Q9H3R0,5.5,2,0,0,0.76161314,false,0,DIP-60098N|uniprotkb:Q9H3R0,684,0.75,No
263286,5.4261887,0,0.18429142,0,1,1,15,false,0,DIP-60096N|uniprotkb:P16778,19,1,0,0,0.82295245,false,0,DIP-60096N|uniprotkb:P16778,0,0,No
263287,5.85436893,0,0.1708126,1,2,2,15,false,0,DIP-60095N|uniprotkb:Q2GJL5,12,2,0,0,0.80582524,false,0,DIP-60095N|uniprotkb:Q2GJL5,0,0.57142857,No
263288,1,0,1,0,1,1,1,false,-1,DIP-50110N|uniprotkb:P52789,1,1,0,0,1,false,0,DIP-50110N|uniprotkb:P52789,0,0,No
263289,1,0,1,0,1,1,1,false,-1,DIP-60093N|refseq:NP_065108|uniprotkb:Q9NQ88,1,1,0,0,1,false,0,DIP-60093N|refseq:NP_065108|uniprotkb:Q9NQ88,0,0,No
263290,1,0,1,0,1,1,1,false,-1,DIP-60092N|uniprotkb:Q8C1B1,1,1,0,0,1,false,0,DIP-60092N|uniprotkb:Q8C1B1,0,0,No
263291,1,0,1,0,1,1,1,false,-1,DIP-52405N|uniprotkb:Q9P1Y5,1,1,0,0,1,false,0,DIP-52405N|uniprotkb:Q9P1Y5,0,0,No
263292,0,0,0,0,2,NA,0,true,-1,DIP-60091N|refseq:NP_001027006|uniprotkb:A8MYU2,0,1,0,0,92233720368.5478,false,1,DIP-60091N|refseq:NP_001027006|uniprotkb:A8MYU2,0,0,No
263293,8.11750062,0,0.12319063,0,1,1,18,false,0,DIP-40062N|refseq:NP_006708|uniprotkb:Q9Y657,2,1,0,0,0.71529998,false,0,DIP-40062N|refseq:NP_006708|uniprotkb:Q9Y657,0,0,No
263294,0,0,0,0,2,NA,0,true,-1,DIP-34900N|uniprotkb:Q16820,0,1,0,0,92233720368.5478,false,1,DIP-34900N|uniprotkb:Q16820,0,0,No
263295,5.17226786,0,0.19333879,1,2,2,15,false,0,DIP-41890N|uniprotkb:P15941,16.5,2,0,0,0.83310929,false,0,DIP-41890N|uniprotkb:P15941,0,0.53225806,Yes
263296,2.14285714,0,0.46666667,0,1,1,3,false,18,DIP-60066N|uniprotkb:P0CW72,5,1,0,0,0.61904762,false,0,DIP-60066N|uniprotkb:P0CW72,0,0,No
263297,0,0,0,0,2,NA,0,true,-1,DIP-60049N|refseq:NP_001139508|uniprotkb:Q13336,0,1,0,0,92233720368.5478,false,1,DIP-60049N|refseq:NP_001139508|uniprotkb:Q13336,0,0,No
263298,1,0,1,0,1,1,1,false,-1,DIP-54283N|uniprotkb:Q96QG7,1,1,0,0,1,false,0,DIP-54283N|uniprotkb:Q96QG7,0,0,No
263299,1,0,1,0,1,1,1,false,-1,DIP-60046N|refseq:NP_060147|uniprotkb:Q96EF0,1,1,0,0,1,false,0,DIP-60046N|refseq:NP_060147|uniprotkb:Q96EF0,0,0,No
263300,7.23400548,0,0.138236,0,1,1,17,false,0,DIP-60043N|refseq:NP_001029126|uniprotkb:Q99JA0,6,1,0,0,0.75063978,false,0,DIP-60043N|refseq:NP_001029126|uniprotkb:Q99JA0,0,0,Yes
263301,11.86855863,0,0.08425623,0,1,1,22,false,21,DIP-60041N|refseq:NP_001102741|uniprotkb:D3ZAR1,3,1,0,0,0.56525765,false,0,DIP-60041N|refseq:NP_001102741|uniprotkb:D3ZAR1,0,0,No
263302,1.75,0,0.57142857,0,1,1,2,false,-1,DIP-60040N,4,1,0,0,0.625,false,0,DIP-60040N,0,0,No
263303,1.75,0,0.57142857,0,1,1,2,false,-1,DIP-60039N,4,1,0,0,0.625,false,0,DIP-60039N,0,0,No
263304,1.75,0,0.57142857,0,1,1,2,false,-1,DIP-60038N,4,1,0,0,0.625,false,0,DIP-60038N,0,0,No
263305,1.75,0,0.57142857,0,1,1,2,false,-1,DIP-60037N,4,1,0,0,0.625,false,0,DIP-60037N,0,0,No
263306,1,4.99893772573328e-07,1,0,4,4,1,false,-1,DIP-53793N|uniprotkb:Q9NY33,1,4,0,0,1,false,0,DIP-53793N|uniprotkb:Q9NY33,12,0,No
263307,6.57779437,0,0.15202664,0,1,1,17,false,0,DIP-32625N|refseq:NP_990644|uniprotkb:P04625,15,1,0,0,0.77688823,false,0,DIP-32625N|refseq:NP_990644|uniprotkb:P04625,0,0,No
263308,4.71670401,0.00140616245048384,0.21201246,0.13333333,6,6,13,false,0,DIP-40097N|refseq:NP_003286|uniprotkb:P13693,23.16666667,6,0,0,0.85133184,false,0,DIP-40097N|refseq:NP_003286|uniprotkb:P13693,292764,0.18715847,No
263309,5.519293,0,0.18118263,0,1,1,15,false,0,DIP-60021N|uniprotkb:Q8VI24,3,1,0,0,0.81922828,false,0,DIP-60021N|uniprotkb:Q8VI24,0,0,No
263310,4.51954195,0.000543461111452254,0.22126136,0,3,3,14,false,0,DIP-31514N|refseq:NP_003027|uniprotkb:P12755,81.33333333,3,0,0,0.85921832,false,0,DIP-31514N|refseq:NP_003027|uniprotkb:P12755,76184,0.33612273,No
263311,5.93228778,0,0.16856903,0,1,1,16,false,0,DIP-34268N|uniprotkb:Q91YE6,12,1,0,0,0.80270849,false,0,DIP-34268N|uniprotkb:Q91YE6,0,0,No
263312,4.42718447,0.000679038268287655,0.22587719,0.33333333,3,3,14,false,0,DIP-60016N|refseq:NP_001136065|uniprotkb:Q13572,94,3,0,0,0.86291262,false,0,DIP-60016N|refseq:NP_001136065|uniprotkb:Q13572,171414,0.34184915,No
263313,5.17948718,0.000501402889950518,0.19306931,0.13333333,6,6,15,false,0,DIP-38639N|uniprotkb:Q03112,6.33333333,6,0,0,0.83282051,false,0,DIP-38639N|uniprotkb:Q03112,55670,0.22222222,No
263314,6.70400797,0,0.1491645,0,1,1,17,false,0,DIP-59999N,9,1,0,0,0.77183968,false,0,DIP-59999N,0,0,No
263315,6.70400797,0,0.1491645,0,1,1,17,false,0,DIP-59998N,9,1,0,0,0.77183968,false,0,DIP-59998N,0,0,No
263316,7.52626338,0.000475956569266915,0.13286806,0.2,5,5,17,false,0,DIP-32212N|uniprotkb:O88384,3.6,5,0,0,0.73894946,false,0,DIP-32212N|uniprotkb:O88384,73998,0.29090909,No
263317,8.3485188,0,0.11978173,0,1,1,18,false,0,DIP-35546N|refseq:NP_004495|uniprotkb:P52594,8,1,0,0,0.70605925,false,0,DIP-35546N|refseq:NP_004495|uniprotkb:P52594,0,0,No
263318,8.3485188,0,0.11978173,0,1,1,18,false,0,DIP-46793N|uniprotkb:O14617,8,1,0,0,0.70605925,false,0,DIP-46793N|uniprotkb:O14617,0,0,No
263319,6.69853124,0.00161660489745333,0.14928646,0.13333333,6,6,16,false,11,DIP-56475N|uniprotkb:O95721,5.83333333,6,0,0,0.77205875,false,0,DIP-56475N|uniprotkb:O95721,262088,0.21153846,No
263320,7.34876774,0.00169505297443545,0.13607724,0.10714286,8,8,17,false,0,DIP-46794N|uniprotkb:P70280,2.875,8,0,0,0.74604929,false,0,DIP-46794N|uniprotkb:P70280,318040,0.19230769,No
263321,8.34826985,0,0.1197853,1,2,2,18,false,0,DIP-57614N|uniprotkb:Q96NW4,5,2,0,0,0.70606921,false,0,DIP-57614N|uniprotkb:Q96NW4,0,0.625,No
263322,0,0,0,0,2,NA,0,true,-1,DIP-59992N|refseq:NP_002517|uniprotkb:P21589,0,1,0,0,92233720368.5478,false,1,DIP-59992N|refseq:NP_002517|uniprotkb:P21589,0,0,No
263323,7.09111277,0,0.14102159,1,2,2,17,false,13,DIP-41328N|uniprotkb:Q9NPJ4,7,2,0,0,0.75635549,false,0,DIP-41328N|uniprotkb:Q9NPJ4,0,0.7,No
263324,7.7012696,0,0.12984872,0,1,1,18,false,0,DIP-31790N|refseq:NP_001026854|uniprotkb:Q16629,9,1,0,0,0.73194922,false,0,DIP-31790N|refseq:NP_001026854|uniprotkb:Q16629,0,0,No
263325,8.09061489,0,0.1236,0,1,1,18,false,13,DIP-54486N|uniprotkb:Q9H9G7,2,1,0,0,0.7163754,false,0,DIP-54486N|uniprotkb:Q9H9G7,0,0,No
263326,1,0,1,0,1,1,1,false,-1,DIP-31205N|refseq:NP_006707|uniprotkb:Q9UBU7,1,1,0,0,1,false,0,DIP-31205N|refseq:NP_006707|uniprotkb:Q9UBU7,0,0,No
263327,1,0,1,0,1,1,1,false,-1,DIP-31728N|refseq:NP_003494|uniprotkb:O00311,1,1,0,0,1,false,0,DIP-31728N|refseq:NP_003494|uniprotkb:O00311,0,0,No
263328,6.40004979,0,0.15624878,0,1,1,16,false,0,DIP-59986N|refseq:NP_001522|uniprotkb:Q95460,10,1,0,0,0.78399801,false,0,DIP-59986N|refseq:NP_001522|uniprotkb:Q95460,0,0,Yes
263329,6.75304954,0,0.14808125,0,1,1,17,false,0,DIP-50463N|uniprotkb:P00387,4,1,0,0,0.76987802,false,0,DIP-50463N|uniprotkb:P00387,0,0,No
263330,4.95195419,0.000222863359758161,0.20194048,0,4,3,15,false,0,DIP-31273N|uniprotkb:P14618,28.5,3,0,0,0.84192183,false,1,DIP-31273N|uniprotkb:P14618,12734,0.5,Yes
263331,7.30968384,0,0.13680482,0,1,1,18,false,0,DIP-49918N|uniprotkb:Q7Z6M4,2,1,0,0,0.74761265,false,0,DIP-49918N|uniprotkb:Q7Z6M4,0,0,No
263332,6.30993279,0.000334595565109081,0.15848029,0,4,3,17,false,0,DIP-58104N|uniprotkb:Q96CB9,8.5,3,0,0,0.78760269,false,1,DIP-58104N|uniprotkb:Q96CB9,43906,0.5,No
